txn_id,timestamp,sender_id,receiver_id,amount,is_suspicious,decision,sender_risk
TXN000986685,2024-01-01 00:00:00.000000,ACC000366,ACC003593,44863.22,1,BLOCK,1.0
TXN000981643,2024-01-01 00:00:00.000000,ACC000486,ACC026769,45021.26,1,BLOCK,1.0
TXN000959852,2024-01-01 00:00:00.000000,ACC000365,ACC000384,64896.59,1,BLOCK,1.0
TXN000976291,2024-01-01 00:00:00.000000,ACC000197,ACC000249,95533.54,1,BLOCK,1.0
TXN000988139,2024-01-01 00:00:00.000000,ACC000761,ACC000519,17646.38,1,BLOCK,1.0
TXN000960232,2024-01-01 00:00:00.000000,ACC000612,ACC000254,48738.86,1,BLOCK,1.0
TXN001000307,2024-01-01 00:00:00.000000,ACC000141,ACC000944,98528.78,1,BLOCK,1.0
TXN000974399,2024-01-01 00:00:00.000000,ACC001021,ACC000834,87959.59,1,BLOCK,1.0
TXN000960932,2024-01-01 00:00:00.000000,ACC000102,ACC000518,95758.27,1,BLOCK,1.0
TXN000971338,2024-01-01 00:29:59.000000,ACC000296,ACC008714,7317.49,0,BLOCK,1.0
TXN000960064,2024-01-01 01:34:06.000000,ACC000046,ACC025816,9886.82,0,BLOCK,1.0
TXN000981644,2024-01-01 01:36:42.706379,ACC000486,ACC025697,44920.34,1,BLOCK,1.0
TXN000981645,2024-01-01 01:52:16.792206,ACC000486,ACC026769,45011.81,1,BLOCK,1.0
TXN000986690,2024-01-01 02:39:35.354082,ACC000366,ACC019133,45203.89,1,BLOCK,1.0
TXN000986686,2024-01-01 03:03:54.980244,ACC000366,ACC005402,45212.61,1,BLOCK,1.0
TXN000960233,2024-01-01 03:06:37.041821,ACC000254,ACC000497,47276.7,1,BLOCK,1.0
TXN000959853,2024-01-01 03:29:54.546479,ACC000384,ACC019494,59488.1,1,BLOCK,1.0
TXN000986689,2024-01-01 03:34:32.304786,ACC000366,ACC024845,45069.38,1,BLOCK,1.0
TXN000981647,2024-01-01 03:53:18.539268,ACC000486,ACC014407,45128.91,1,BLOCK,1.0
TXN000986687,2024-01-01 05:01:38.176524,ACC000366,ACC024845,44993.14,1,BLOCK,1.0
TXN000986691,2024-01-01 05:03:06.299757,ACC000366,ACC005402,45058.89,1,BLOCK,1.0
TXN000981649,2024-01-01 05:21:12.995902,ACC000486,ACC004724,45181.63,1,BLOCK,1.0
TXN000960234,2024-01-01 06:13:14.083642,ACC000497,ACC000679,45858.4,1,BLOCK,1.0
TXN000994236,2024-01-01 06:18:25.000000,ACC000615,ACC024461,203.89,0,BLOCK,1.0
TXN000965735,2024-01-01 06:19:10.000000,ACC000872,ACC018487,193.48,0,BLOCK,1.0
TXN000986692,2024-01-01 06:41:15.755967,ACC000366,ACC024845,45149.07,1,BLOCK,1.0
TXN000986693,2024-01-01 06:43:48.388751,ACC000366,ACC019133,45220.09,1,BLOCK,1.0
TXN000965497,2024-01-01 07:03:27.000000,ACC000444,ACC015436,554.33,0,BLOCK,1.0
TXN000981646,2024-01-01 07:04:50.168757,ACC000486,ACC007288,44991.58,1,BLOCK,1.0
TXN000981840,2024-01-01 07:06:39.000000,ACC000586,ACC019590,358.39,0,BLOCK,1.0
TXN001000195,2024-01-01 07:10:52.000000,ACC000312,ACC010320,641.06,0,BLOCK,1.0
TXN000959964,2024-01-01 07:11:20.000000,ACC000196,ACC012146,379.67,0,BLOCK,1.0
TXN000986698,2024-01-01 07:11:42.444218,ACC000366,ACC001310,45061.43,1,BLOCK,1.0
TXN000995269,2024-01-01 07:16:36.000000,ACC000999,ACC001167,4656.0,0,BLOCK,1.0
TXN000967786,2024-01-01 07:16:50.000000,ACC000066,ACC008574,184.4,0,BLOCK,1.0
TXN000996715,2024-01-01 07:30:56.000000,ACC000992,ACC009255,1374.27,0,BLOCK,1.0
TXN000999726,2024-01-01 07:34:25.000000,ACC000245,ACC004361,1285.21,0,BLOCK,1.0
TXN000982205,2024-01-01 07:42:52.000000,ACC000250,ACC009688,336.21,0,BLOCK,1.0
TXN000984712,2024-01-01 07:45:49.000000,ACC000437,ACC012456,226.2,0,BLOCK,1.0
TXN000373658,2024-01-01 08:00:00.000000,ACC023761,ACC024026,113429.56,0,COOLING,0.0
TXN000773147,2024-01-01 08:00:00.000000,ACC016068,ACC018249,140100.28,0,COOLING,0.0
TXN000996994,2024-01-01 08:00:00.000000,ACC025265,ACC000182,96658.09,0,BLOCK,0.0
TXN000955813,2024-01-01 08:00:00.000000,ACC026830,ACC014922,143380.05,0,COOLING,0.0
TXN000076047,2024-01-01 08:00:00.000000,ACC007069,ACC008793,141590.76,0,COOLING,0.0
TXN000389107,2024-01-01 08:00:00.000000,ACC001567,ACC009669,131932.95,0,COOLING,0.0
TXN000470123,2024-01-01 08:00:00.000000,ACC022351,ACC015750,134963.28,0,COOLING,0.0
TXN000961543,2024-01-01 08:00:00.000000,ACC006656,ACC000107,113218.14,0,BLOCK,0.0
TXN000488068,2024-01-01 08:00:00.000000,ACC020359,ACC016821,128843.29,0,COOLING,0.0
TXN000506260,2024-01-01 08:00:00.000000,ACC017918,ACC007219,101546.2,0,COOLING,0.0
TXN000148915,2024-01-01 08:00:00.000000,ACC010196,ACC024575,125193.24,0,COOLING,0.0
TXN000510046,2024-01-01 08:00:00.000000,ACC021130,ACC017382,140938.69,0,COOLING,0.0
TXN000633336,2024-01-01 08:00:00.000000,ACC017915,ACC012612,125803.82,0,COOLING,0.0
TXN000311189,2024-01-01 08:00:00.000000,ACC008976,ACC023897,102758.63,0,COOLING,0.0
TXN000314684,2024-01-01 08:00:00.000000,ACC013396,ACC018132,110940.01,0,COOLING,0.0
TXN000985585,2024-01-01 08:10:07.000000,ACC000584,ACC009216,601.63,0,BLOCK,1.0
TXN000998411,2024-01-01 08:29:15.000000,ACC000888,ACC003790,1137.18,0,BLOCK,1.0
TXN000963108,2024-01-01 08:30:57.000000,ACC000454,ACC013197,293.94,0,BLOCK,1.0
TXN000961678,2024-01-01 08:33:20.000000,ACC000387,ACC019705,178.07,0,BLOCK,1.0
TXN000982557,2024-01-01 08:36:36.000000,ACC000262,ACC024102,2091.09,0,BLOCK,1.0
TXN000986688,2024-01-01 08:54:18.302773,ACC000366,ACC024335,45198.78,1,BLOCK,1.0
TXN000987972,2024-01-01 09:00:00.000000,ACC026843,ACC000162,131549.29,0,BLOCK,0.0
TXN000693928,2024-01-01 09:00:00.000000,ACC020706,ACC015529,148959.25,0,COOLING,0.0
TXN000517267,2024-01-01 09:00:00.000000,ACC006014,ACC026839,128554.93,0,COOLING,0.0
TXN000563151,2024-01-01 09:00:00.000000,ACC011008,ACC003409,147967.71,0,COOLING,0.0
TXN000116389,2024-01-01 09:00:00.000000,ACC014110,ACC001607,100309.05,0,COOLING,0.0
TXN000707625,2024-01-01 09:00:00.000000,ACC021385,ACC001919,106742.29,0,COOLING,0.0
TXN000015595,2024-01-01 09:00:00.000000,ACC015915,ACC026454,124941.94,0,COOLING,0.0
TXN001000443,2024-01-01 09:03:48.000000,ACC000601,ACC022069,2831.84,0,BLOCK,1.0
TXN000990621,2024-01-01 09:14:07.000000,ACC000653,ACC008439,272.83,0,BLOCK,1.0
TXN000971300,2024-01-01 09:17:56.000000,ACC000943,ACC008252,731.77,0,BLOCK,1.0
TXN000962127,2024-01-01 09:19:30.000000,ACC000891,ACC005843,584.4,0,BLOCK,1.0
TXN000960235,2024-01-01 09:19:51.125463,ACC000679,ACC000612,44482.64,1,BLOCK,1.0
TXN000984869,2024-01-01 09:32:03.000000,ACC000441,ACC017453,760.2,0,BLOCK,1.0
TXN000967008,2024-01-01 09:38:44.000000,ACC000917,ACC012892,2021.91,0,BLOCK,1.0
TXN000984654,2024-01-01 09:55:48.000000,ACC000643,ACC022094,426.85,0,BLOCK,1.0
TXN000980414,2024-01-01 09:57:03.000000,ACC000940,ACC005071,662.11,0,BLOCK,1.0
TXN000077370,2024-01-01 10:00:00.000000,ACC003247,ACC019383,148377.72,0,COOLING,0.0
TXN000826061,2024-01-01 10:00:00.000000,ACC005803,ACC007522,111049.45,0,COOLING,0.0
